
> backend@1.0.0 dev
> ts-node src/server.ts

[dotenv@17.2.2] injecting env (0) from .env -- tip: ⚙️  specify custom .env file path with { path: '/custom/path/.env' }
Server running on port 3001
Health check: http://localhost:3001/health
127.0.0.1 - - [25/Sep/2025:12:26:24 +0000] "GET /health HTTP/1.1" 200 54 "-" "curl/7.88.1"
127.0.0.1 - - [25/Sep/2025:12:26:28 +0000] "POST /api/slots HTTP/1.1" 201 169 "-" "curl/7.88.1"
127.0.0.1 - - [25/Sep/2025:12:26:34 +0000] "GET /api/slots?weekStart=2025-09-22 HTTP/1.1" 200 132 "-" "curl/7.88.1"
127.0.0.1 - - [25/Sep/2025:12:30:17 +0000] "GET /api/slots?weekStart=2025-09-22 HTTP/1.1" 200 132 "-" "curl/7.88.1"
127.0.0.1 - - [25/Sep/2025:12:30:22 +0000] "GET /api/slots?weekStart=2025-09-21 HTTP/1.1" 200 132 "http://localhost:3000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/136.0.7103.25 Safari/537.36"
127.0.0.1 - - [25/Sep/2025:12:30:22 +0000] "GET /api/slots?weekStart=2025-09-21 HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/136.0.7103.25 Safari/537.36"
127.0.0.1 - - [25/Sep/2025:12:30:34 +0000] "POST /api/slots HTTP/1.1" 201 165 "http://localhost:3000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/136.0.7103.25 Safari/537.36"
127.0.0.1 - - [25/Sep/2025:12:30:34 +0000] "GET /api/slots?weekStart=2025-09-21 HTTP/1.1" 200 259 "http://localhost:3000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/136.0.7103.25 Safari/537.36"
127.0.0.1 - - [25/Sep/2025:12:30:59 +0000] "PUT /api/slots/2?date=2025-09-21 HTTP/1.1" 200 39 "http://localhost:3000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/136.0.7103.25 Safari/537.36"
127.0.0.1 - - [25/Sep/2025:12:31:26 +0000] "GET /api/slots?weekStart=2025-09-28 HTTP/1.1" 200 259 "http://localhost:3000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/136.0.7103.25 Safari/537.36"
127.0.0.1 - - [25/Sep/2025:12:31:36 +0000] "POST /api/slots HTTP/1.1" 201 165 "http://localhost:3000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/136.0.7103.25 Safari/537.36"
